PRODUTO;INGREDIENTE_ATIVO;TIPO;CLASSE_TOXICOLOGICA;TARJA;CLASSE_AMBIENTAL;CONCENTRACAO_IA;ALVO;DOSE_TEXTO;UNIDADE_MEDIDA;CRITERIO_DOSAGEM;VOLUME_MAX_CALDA;NUM_APLICACOES;INTERVALO_DIAS;CARENCIA_DIAS;REENTRADA_DIAS;MRL_EU;MRL_GB;MRL_BRASIL;CONDICAO_TESCO;MEDIDA_TESCO;CULTURA
ABADIN 72 EC;ABAMECTINA;INSETIC / ACARIC;III;AMARELO;II;72 g/L;- Mosca Minadora - Ácaro-rajado;12,5 a 25 mL/100L - Mosca Minadora 25 ml\100L - Acaro;LT;L;600-800 L/ha;2;7;7;1;0,01;0,01;0,01;Restrito;Med - 01;MELÃO
ABAMECTIN 72 EC NORTOX;ABAMECTINA;INSETICIDA;III;AMARELO;II;72 g/L;- Ácaro-rajado - Mosca-minadora;- Ácaro - 25 mL/100L - Mosca minadora 12,5 – 25 mL/100L;LT;L;600 - 800 L/ha;2;7;7;1;0,01;0,01;0,01;Restrito;Med - 01;MELÃO
ABAMEX;ABAMECTINA;INSETIC / ACARIC;IV;AZUL;III;18g/L;- Mosca Minadora;600 - 750 ml \ 100 há;LT;H;800 a 1000 L;2;14;7;1;0.01;0,01;0,01;Restrito;Med - 01;MELÃO
ACEMIP;ACETAMIPRIDO;INSETICIDA;V;AZUL;II;200 g/kg;- Mosca Branca - Pulgão;250 - 300 g/ha;KG;H;1000 L/ha;3;7;14;1;0,2;0,2;0,2;NA;NA;MELÃO
ACETAMIPRID NORTOX 200 SP;ACETAMIPRIDO;INSETICIDA;IV;AZUL;II;200 g/L;- Mosca Branca - Pulgão;250-300 g/há;KG;H;1000 L;3;7;14;1;0.2;0.2;0,2;NA;NA;MELÃO
AMISTAR TOP;"AZOXISTROBINA +
DIFENOCONAZOL";FUNGICIDA;V;AZUL;II;"200 g\L
125 g\L";- Oídio - Míldio;300-400 ml \ha;LT;H;400 a 600 L;6;7;10;1;"1,0 (az)
0,2 (Dif)";"1,0 (az)
0,2 (Dif)";7,0 + 0,05;NA / NA;NA / NA;MELÃO
AMISTAR WG;AZOXISTROBINA;FUNGICIDA;IV;AZUL;II;500 g/Kg;- Oídio - Míldio;128 g\ha;KG;H;600-1000 L/ha;5;7;2;1;1;1;7;NA;NA;MELÃO
AZAMAX;AZADIRACTINA;INSETICIDA;V;AZUL;IV;12g/L;- Pulgão;200 a 300 ml/ 100 L;LT;L;200 a 1000 L/ha;2;10;ND;1;1;1;sem restrição;NA;NA;MELÃO
BAC-CONTROL WP;BACILLUS THURINGIESIS;INSETICIDA BIOLOGICO;V;AZUL;IV;32 g\Kg;- Broca dos Frutos;100g \ 100 L;LT;L;500 L;NA;ND;ND;1;0,01;SI;sem restrição;Monitorado;NA;MELÃO
BENEVIA;CIANTRANILIPROLE;INSETICIDA;NC;VERDE;III;100 g / L;- Mosca Branca;400 - 500 ml/ha;LT;H;250 - 1000 L/ha;3;7;14;1,0;0,4;0,3;0,03;Monitorado;NA;MELÃO
BLADE;PIRIPROXIFEM;INSETICIDA;V;AZUL;II;100g/L;- Mosca Branca;75 - 100mL/100L;LT;L;1000 L;2;7;14;1;0,02;0,05;0,1;NA;NA;MELÃO
CARAMBA 90;METCONAZOL;FUNGICIDA;V;AZUL;II;90g/l;- Oídio;0,8 - 1,0 l/ha;LT;H;400 a 1000 L;3;7 - 15;14;1;0.02;0.02;0,05;NA;NA;MELÃO
CARNADINE;ACETAMIPRIDO;INSETICIDA;IV;AZUL;II;200 g/L;- Mosca Branca - Pulgão;250 a 300mL/ha;LT;H;400 a 1000 L;3;7;14;1;0,2;0.2;0,2;NA;NA;MELÃO
CENSOR;FENAMIDONA;FUNGICIDA;V;AZUL;II;500 g/L;- Míldio;0,3 L \ha;LT;H;300 - 1000 L;3;10;7;1;0,01;0,01;0,1;NA;NA;MELÃO
COLLIS;CRESOXIM-METÍLICO + BOSCALIDA;FUNGICIDA;NC;VERDE;II;(100 +200) g/L;- Oídio;400 a 600 ml\ha;LT;H;400 a 800 L;4;10;7;1;0.5 + 3;0.5 + 3;0,01 + 0,5;"Monitorado /
NA";NA;MELÃO
CORAGEN;CLORANTRANILIPROLE;INSETICIDA;NC;VERDE;II;200 g/L;- Broca dos Frutos;7,5 mL / 100L;LT;L;600L;2;14;7;1;0.3;0.3;0,2;Monitorado;NA;MELÃO
COSTAR;BACILLUS THURINGIESIS;INSETICIDA BIOLOGICO;V;AZUL;IV;850 g/kg;- Broca dos Frutos;25 - 75 g / 100 L;KG;L;1000 L;4;5;ND;1;0,01;0,01;sem restrição;Monitorado;NA;MELÃO
DELEGATE;ESPINETORAM;INSETICIDA;V;AZUL;II;250 g / Kg;- Trips - Mosca Minadora - Broca dos Frutos;120 - 160 g / 100L;KG;L;500 - 1000 L /ha;4;ND;3;1;0,03;0,05;0,02;Monitorado;NA;MELÃO
DICARZOL 500 SP;CLORIDRATO DE FORMETANATO;INSETIC / ACARIC;II;VERMELHO;II;582 g/L;- Trips;125 g/100 L;KG;L;1000 L;3;7;7;1;0,3;0,3;0,5;Monitorado;NA;MELÃO
DIFCOR 250 EC;DIFENOCAZOL;FUNGICIDA;III;AMARELO;II;250 g/L;- Crestamento-gomoso;30 ml / 100 L;LT;L;200 a 400 L;4;14;10;1;0,2;0,2;0,05;NA;NA;MELÃO
DINK 200 SP;ACETAMIPRIDO;INSETICIDA;IV;AZUL;II;200 g/L;- Mosca Branca - Pulgão;250 - 300 g/há - Mosca 25 - 30 g\100L - Pulgão;KG;H;1000 L;3;7;14;1;0,2;0.2;0,2;NA;NA;MELÃO
DIPEL WP;BACILLUS THURINGIESIS;"INSETICIDA
BIOLOGICO";V;AZUL;IV;32 g\ Kg;- Broca dos Frutos - Lagartas mede plmo;100 g \ 100 L - Broca 60-80 g\ L - Lagarta;KG;L;150 - 400 L;NA;7;ND;N/A;0,01;SI;sem restrição;Monitorado;NA;MELÃO
ECO-SHOT;BACILLUS AMYLOLIQUEFACIENS;"FUNGICIDA
MICROBIOLÓGICO";V;AZUL;IV;250 g / Kg;- Oídio - Míldio;(1) Oídio - 1,0 - 3,0 Kg/ha (2) Míldio - 1,0 - 4,0 kg/ha;KG;H;"800 L - Oidio
1000 L - Mildio";"4 - Oidio
3 - Mildio";7;ND;1;sem restrição;sem restrição;sem restrição;NA;NA;MELÃO
EFFICON;DIMPROPYRIDAZ;INSETICIDA;NC;VERDE;II;120g\L;- Mosca Branca - Pulgão;(1) Mosca Branca - 600 - 1000 ml/ha (2) Pulgão - 300 ml/ha;LT;H;400 L;3;7;7;1;0.0100;0.0100;;;;MELÃO
ELESTAL NEO;ACETAMIPRID;INSETICIDA;IV;AZUL;II;250g\kg;- Mosca branca;(1) Mosca Branca - 100 - 200 g/ha (2) Acaro - 100 - 200 g/ha (1) Pulgão- 150 - 200 g/ha;KG;H;400 L;3;7;3;3;0.0800;0.2000;;;;MELÃO
